City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
211,Conduaga,11,PH,1694956022,84,8.862,117.4893,80.17,6.06
212,Cercado Abajo,100,DO,1694956268,71,18.7268,-71.5174,76.06,3.44
213,Chibougamau,100,CA,1694956025,81,49.9168,-74.3659,57.52,3.87
214,Northam,100,GB,1694956040,96,51.0333,-4.2167,64.65,10.11
215,Zeya,100,RU,1694956269,92,53.75,127.2667,49.05,2.75
216,Ciudad Melchor Múzquiz,57,MX,1694956269,75,27.8833,-101.5167,74.17,3.74
217,Ketchikan,100,US,1694955985,94,55.3422,-131.6461,54.46,25.41
218,Susuman,91,RU,1694956000,88,62.7833,148.1667,31.64,4.34
219,São João da Barra,11,BR,1694956002,78,-21.6403,-41.0511,78.89,11.61
220,Mar del Plata,100,AR,1694955970,60,-38.0023,-57.5575,58.08,3.0
221,Abashiri,100,JP,1694956269,89,44.0213,144.2697,67.33,7.34
222,Hirara,15,JP,1694956035,76,24.8,125.2833,83.07,7.36
223,Iskateley,7,RU,1694956004,67,67.6803,53.1512,47.82,3.65
224,Colares,40,PT,1694956269,79,38.7992,-9.4469,72.37,24.0
225,Zhigalovo,31,RU,1694955991,83,54.8097,105.1578,51.46,2.75
226,Bumba,100,CD,1694956270,97,2.1833,22.4667,71.4,5.17
227,Kuressaare,75,EE,1694956270,75,58.2481,22.5039,64.02,14.0
228,Nikel,100,RU,1694956173,95,69.4128,30.222,46.58,9.53
229,Mejit,100,MH,1694955990,82,10.2753,170.8646,83.25,20.58
230,Baotou,0,CN,1694956270,19,40.6522,109.8222,67.55,6.11
231,Geraldton,0,AU,1694956031,72,-28.7667,114.6,61.21,13.8
232,Enewetak,94,MH,1694955986,78,11.3474,162.3373,84.16,17.49
233,Port Victoria,9,KE,1694956270,60,0.0939,33.9756,77.76,12.17
234,Puerto Lempira,20,HN,1694956270,70,15.2667,-83.7667,84.34,0.0
235,Martapura,55,ID,1694956270,83,-3.4167,114.85,78.35,4.27
236,Alice Springs,0,AU,1694956024,16,-23.7,133.8833,71.15,8.05
237,Koné,14,NC,1694955983,87,-21.0595,164.8658,67.37,5.39
238,Dudinka,100,RU,1694955989,74,69.4058,86.1778,40.73,6.15
239,Fort Bragg,40,US,1694955803,76,35.139,-79.006,72.18,3.44
240,Riyadh,13,SA,1694956142,7,24.6877,46.7219,107.74,5.44
241,Nikolayevsk-on-Amur,100,RU,1694956271,78,53.1406,140.73,47.28,1.81
242,Richards Bay,100,ZA,1694956003,72,-28.783,32.0377,63.1,5.19
243,Puerto Colombia,100,CO,1694956011,75,10.9878,-74.9547,82.49,7.02
244,Cologne,40,DE,1694956013,52,50.9333,6.95,84.94,8.05
245,Saipan,0,MP,1694955993,94,15.1355,145.701,81.3,6.91
246,Kokkola,100,FI,1694955981,80,63.8385,23.1307,52.93,16.11
247,Sebastian,0,US,1694956271,75,35.1668,-94.2669,63.97,2.86
248,Box Elder,12,US,1694956271,44,41.5005,-112.8764,66.18,6.35
249,Badagry,94,NG,1694956272,77,6.4167,2.8833,81.36,14.74
250,Port Alfred,12,ZA,1694956006,61,-33.5906,26.891,65.17,8.01
251,Shingū,13,JP,1694956177,93,33.7333,135.9833,75.67,3.36
252,Dossor,100,KZ,1694956272,37,47.5272,52.9811,69.1,2.53
253,Kupang,20,ID,1694956272,73,-10.1667,123.5833,79.38,14.97
254,Kingston,88,JM,1694955902,82,17.997,-76.7936,85.24,1.01
255,Tamanghasset,0,DZ,1694956272,10,22.785,5.5228,93.11,4.61
256,Kavieng,1,PG,1694956017,75,-2.5744,150.7967,80.91,13.4
257,Natal,75,BR,1694955990,74,-5.795,-35.2094,83.05,11.5
258,Argos,100,GR,1694956272,37,37.6333,22.7333,80.78,10.2
259,Sovetskiy,100,RU,1694956273,44,61.3614,63.5842,67.89,7.0
260,Happy Valley-Goose Bay,100,CA,1694956034,94,53.3168,-60.3315,53.91,16.11
261,Vorgashor,100,RU,1694955991,81,67.5833,63.95,41.02,11.88
262,Aasiaat,66,GL,1694956001,79,68.7098,-52.8699,35.37,4.83
263,Arteche,23,PH,1694956043,83,12.2645,125.4048,80.51,3.18
264,Greenville,0,US,1694956033,74,35.6127,-77.3663,71.13,3.0
265,Saint-Philippe,48,RE,1694955899,76,-21.3585,55.7679,78.39,12.48
266,Punta Arenas,100,CL,1694956007,60,-53.15,-70.9167,35.71,6.91
267,Kirakira,100,SB,1694956019,85,-10.4544,161.9205,79.29,8.84
268,Malanje,47,AO,1694956273,22,-9.5402,16.341,95.99,1.07
269,Gulf Shores,40,US,1694956273,80,30.246,-87.7008,80.08,0.0
270,Merke,52,KZ,1694956273,40,42.8728,73.1786,71.64,4.47
271,Borzya,100,RU,1694956274,93,50.3833,116.5167,46.42,7.38
272,Dolinsk,100,RU,1694956274,93,47.35,142.8,60.98,6.13
273,Luorong,37,CN,1694956274,82,24.4058,109.6086,80.89,2.55
274,Nagqu Prefecture,100,CN,1694956025,93,31.5,92.0,41.31,5.3
275,Luganville,65,VU,1694956013,86,-15.5333,167.1667,76.26,10.0
276,Muynak,100,UZ,1694956274,39,43.7683,59.0214,70.11,12.91
277,Olavarría,100,AR,1694956274,40,-36.8927,-60.3225,56.16,10.8
278,Lębork,28,PL,1694956274,61,54.5392,17.7501,78.93,7.0
279,Mstera,17,RU,1694956274,41,56.3789,41.92,63.19,3.15
280,Hawaiian Paradise Park,40,US,1694955984,96,19.5933,-154.9731,72.03,3.44
281,Gilgit,20,PK,1694956275,38,35.9221,74.3087,85.93,7.11
282,Quatre Cocos,8,MU,1694956275,72,-20.2078,57.7625,77.11,13.29
283,Asahi,25,JP,1694956275,83,35.7167,140.65,81.27,12.28
284,Usogorsk,100,RU,1694956275,92,63.4106,48.6872,51.51,5.84
285,Yarega,100,RU,1694956275,92,63.4354,53.5765,48.33,6.17
286,Dabeiba,100,CO,1694956275,87,7.0017,-76.2672,78.26,0.94
287,Porto Seguro,40,BR,1694956275,69,-16.4497,-39.0647,79.32,10.36
288,Tazacorte,20,ES,1694955774,71,28.629,-17.9293,77.97,17.27
